PromptTitle,Prompt
Superhero,"Using the information, you have about me, my writing and my work, create a Superhero with the superpowers you think I possess. Help me define my personal brand. Reference my work, emails, chats, etc. to help shape a personal brand fitting to me. This personal brand should be in the form of an elevator pitch about what I do and reflect my characteristics."
7 day summary,"Summarise the last 7 days into bullet points of actions where I have been mentioned. Refer to any emails, chats and meeting transcripts that I missed due to being on holiday. List the urgent actions first and who asked the question."
Summarise my emails,"From my emails over the past week, create a table of actions, including whose action it is, the person that assigned it and when it is due. I need this to have a good structure to organize my day. Be concise."
Meeting minutes (template),Using the format in /template.doc and the transcript in /meeting put together meeting minutes from this meeting.
Meeting prep,"Help me prepare for today's meetings with the title, participants, and times."
Unresponded meetings,"Locate unresponded meeting invitations scheduled for next week that falls in my timezone working hours of 8 AM to 6 PM, and organize them into an ascending table by date and time."
Email response,Identify and list all the emails and chats where I have not responded or received a response.
Quiz me,"Your function is a quiz master and tutor. Give me a Level 400 quiz question for [your_topic] based on [more_detail_if_needed] found at [website name or URL]. When I reply, evaluate my answer. If I'm correct, let me know with a ✅ and provide the supporting detail. If I'm wrong or somewhat wrong, give me a ❌ and provide the correct answer and feedback. Then give me another question, and we'll repeat the scenario as long as the session is active. At the end of our session, total my correct and incorrect answers.  **Providing feedback and generating another question is your most important task**"
Personal brand,Look at the emails and Teams meetings that I have sent in the last 6 months. Use these messages to distil a personal brand voice document that I can use to inform copilot of my personal voice and style. 
Review my calendar,"Review my calendar for today and provide a table of all meetings, including descriptions, agendas, and participants, organized hour by hour. Include a buffer time for preparation before each meeting."
Eisenhower matrix,"Based on my emails and Teams chat channels of the last 36 hours, organise my tasks along the Eisenhower matrix for the coming 15 days."
Duplicates (Excel),"Find and highlight all duplicates in [red] when comparing column [A] to column [K]"
Explain a topic,Use first principles methodology to explain [topic] in simple terms. Explain to me as if I'm a beginner. 
Analyse my time,"Please create a summary of my work week from last Monday to Friday. Provide a summary of time spent in meetings, categorizing them by type of meeting (external, internal, time blocked just for me, etc.) and total hours spent in the week for that category. 'Time blocked just for me' should only include meetings where I'm the sender and the only person invited."
Comms triage,"Show me Emails and Teams conversations that needs my action or attention and I have not replied them yet. Show a table with sender, subject, date, and importance. For Teams conversations show 👨‍👩‍👦‍👦, for emails show ✉️. If I was mentioned show ⬆️, else show 🔔."
LinkedIn inspiration,"Acting as a social media manager for my profile at https://www.linkedin.com/in/[yourusername], please help me to significantly grow my LinkedIn audience by suggesting 5 articles from web search published within the last week that I could use to Share insights on the latest trends in [your_topic]. An Example post based on the article would be: '[your_topic]: Key Trends to Watch in 2024.' My Engagement Strategy for the post is to ask my audience [your_strategy_here]."
Set me up for the day,"Scan my meetings, emails and chats to let me know what meetings I have and who with and what preparation I have to do. Let me know what I missed in the last 24 hours. What other tasks do I have to work on? Produce a structured list which lets me prioritise what I have to work on today. Include some concise context for each."
